_id,_index_map,households.house_ownership,households.sanitary_ownership,households.neighborhood_description,households.date_updated,households.no_of_families_in_the_household,households.no_of_people_in_the_household,households.type_of_house
063bc931-07b2-48d7-8cb3-9e836a9cd9fb,0,Owned,Owned,Rural,04/13/2018 at 09:03:44 AM GMT+08:00,,,Concrete-based
063ef75e-dc20-489e-9db3-521083b42f1f,0,Informal settlers,Owned,Rural,04/17/2018 at 10:17:22 AM GMT+08:00,,,Wood-based
06406833-3e12-4732-a732-e0e1cdb7dc1d,0,Owned,Owned,Rural,04/30/2018 at 09:46:28 AM GMT+08:00,,,Bahay-kubo
06487981-0cc7-4e59-981e-eacdbecee4af,0,Living with relatives/friends,Owned,Rural,04/20/2018 at 04:11:30 AM EDT,,,Concrete-based
065f792c-eeac-41c1-bb23-5c3bd6873d02,0,Owned,Owned,Rural,04/26/2018 at 12:56:56 AM EDT,,,Concrete-based
06684800-f1ab-4791-9f77-6b2ba75d4a33,0,Owned,Owned,Rural,05/10/2018 at 09:56:59 AM GMT+08:00,,,Concrete-based
067b8f84-10fe-4d4b-81f2-d888f32d1646,0,Owned,Owned,Rural,05/04/2018 at 09:56:16 AM GMT+08:00,,,Mixed wood and concrete
0682f184-2c5b-4552-9f02-a6508c8ed878,0,Owned,Owned,Rural,04/10/2018 at 03:48:04 AM GMT+00:00,,,Mixed wood and concrete
0695e8d4-24cf-4deb-b443-5fa5cf2eb831,0,Owned,Owned,Rural,04/13/2018 at 06:04:28 AM GMT+00:00,,,Concrete-based
06976737-7b8b-4428-a211-6b5664d2d2dd,0,Owned,Owned,Rural,03/21/2018 at 07:56:57 AM GMT+00:00,,,Concrete-based
069b9686-f317-4bec-97c7-dbb4509b06d0,0,Owned,Owned,Rural,05/10/2018 at 08:35:32 AM GMT+08:00,,,Mixed wood and concrete
069d33c6-adbf-433a-9900-24ee2dc77193,0,Owned,Owned,Rural,04/18/2018 at 02:33:29 PM GMT+08:00,,,Bahay-kubo
069d7c91-4053-49e8-a13f-3f68981ca279,0,Owned,Owned,Rural,05/10/2018 at 08:32:41 AM GMT+08:00,,,Mixed wood and concrete
06ab1b4a-fd8e-4310-9589-7a3b77f7a18e,0,Living with relatives/friends,Shared,Rural,04/16/2018 at 01:55:11 PM GMT+08:00,,,Mixed wood and concrete
06b0a9a0-1e79-40b1-9d70-15ebcc316695,0,Owned,Owned,Rural,04/20/2018 at 02:03:25 PM GMT+08:00,,,Concrete-based
06b55a77-8c8c-47db-8e8a-bae12129c3ee,0,Owned,Owned,Rural,05/21/2018 at 08:53:26 PM EDT,,,Wood-based
06c1ad3d-2296-48c9-86c1-566a4a4e3524,0,Owned,Owned,Rural,04/24/2018 at 09:22:52 AM GMT+08:00,,,Mixed wood and concrete
06c82eb5-0bc2-4563-be54-1ca4a56b544f,0,Owned,Owned,Rural,05/19/2018 at 03:18:16 PM GMT+08:00,,,Concrete-based
06d433ee-d803-4f5e-a0ac-a32eddd743af,0,Owned,Owned,Rural,04/16/2018 at 05:13:31 AM GMT+00:00,,,Mixed wood and concrete
06e4fa43-3396-4655-b2aa-603fa30ba03a,0,Owned,Owned,Rural,04/10/2018 at 11:23:33 AM GMT+08:00,,,Mixed wood and concrete
06e6227e-7a66-4c22-a513-fa1a4f8a94cd,0,Informal settlers,Owned,Rural,04/18/2018 at 01:16:37 PM GMT+08:00,,,Bahay-kubo
06fc1037-fa46-4fff-94ad-e4e6b09d2667,0,Owned,Owned,Rural,05/07/2018 at 11:46:17 AM GMT+08:00,,,Concrete-based
071003a3-5df5-4ad6-bdb2-4ba78a926a82,0,Owned,Owned,Rural,05/07/2018 at 11:10:07 AM GMT+08:00,,,Concrete-based
